Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.270000,9.500000,9.266670,9.466670,8.632116,122400
2010-01-05,9.413330,9.413330,9.003330,9.236670,8.422392,478200
2010-01-06,9.333330,9.596670,9.086670,9.330000,8.507496,145800
2010-01-07,9.396670,9.396670,9.166670,9.266670,8.449745,393600
2010-01-08,9.266670,9.486670,9.266670,9.430000,8.598677,2186700
2010-01-11,9.500000,9.683330,9.383330,9.683330,8.829676,858900
2010-01-12,9.686670,9.733330,9.656670,9.730000,8.872232,692100
2010-01-13,9.666670,9.990000,9.666670,9.966670,9.088038,954600
2010-01-14,10.000000,10.003300,9.916670,9.966670,9.088038,314100
2010-01-15,10.003300,10.296700,9.700000,9.930000,9.054603,59100
2010-01-18,9.930000,9.950000,9.533330,9.763330,8.902624,339900
2010-01-19,9.766670,9.823330,9.600000,9.663330,8.811439,238800
2010-01-20,9.930000,9.930000,9.533330,9.563330,8.720258,246300
2010-01-21,9.663330,9.666670,9.266670,9.330000,8.507496,205800
2010-01-22,9.500000,9.500000,9.253330,9.400000,8.571322,60900
2010-01-26,9.330000,9.333330,9.016670,9.143330,8.337280,93900
2010-01-27,9.000000,9.096670,8.783330,8.933330,8.145795,281700
2010-01-28,9.000000,9.083330,8.666670,8.833330,8.054609,239100
2010-01-29,9.063330,9.133330,8.866670,9.000000,8.206585,172200
2010-02-01,9.000000,9.400000,8.866670,9.396670,8.568290,149400
2010-02-02,9.303330,9.563330,9.303330,9.490000,8.653391,233400
2010-02-03,9.633330,9.770000,9.400000,9.770000,8.908708,357300
2010-02-04,9.733330,9.756670,9.060000,9.400000,8.571322,373200
2010-02-05,9.333330,9.333330,9.066670,9.166670,8.358566,289800
2010-02-08,9.200000,9.433330,9.000000,9.433330,8.601716,306300
2010-02-09,9.600000,9.666670,9.386670,9.666670,8.814486,366000
2010-02-10,9.633330,9.666670,9.393330,9.663330,8.811439,283200
2010-02-11,9.616670,9.666670,9.200000,9.666670,8.814486,297300
2010-02-12,9.596670,9.633330,9.436670,9.496670,8.659472,192300
2010-02-17,9.533330,9.633330,9.250000,9.616670,8.768893,74100
2010-02-18,9.563330,9.666670,9.500000,9.583330,8.738493,160500
2010-02-19,9.440000,9.650000,9.440000,9.566670,8.723305,225300
2010-02-22,9.500000,9.643330,9.460000,9.600000,8.753693,277200
2010-02-23,9.600000,9.600000,9.063330,9.063330,8.264335,190800
2010-02-24,9.090000,9.500000,9.090000,9.333330,8.510532,224400
2010-02-25,9.333330,9.603330,9.143330,9.266670,8.449745,499800
2010-02-26,9.333330,9.333330,9.183330,9.266670,8.449745,352200
2010-03-01,9.333330,9.333330,9.166670,9.260000,8.443667,447900
2010-03-02,9.526670,9.633330,9.416670,9.600000,8.753693,479100
2010-03-03,9.616670,9.633330,9.453330,9.583330,8.738493,2018700
2010-03-04,9.600000,9.600000,9.526670,9.600000,8.753693,1281300
2010-03-05,9.616670,9.616670,9.333330,9.500000,8.662510,136800
2010-03-08,9.500000,9.583330,9.450000,9.583330,8.738493,37800
2010-03-09,9.576670,9.666670,9.416670,9.600000,8.753693,452100
2010-03-10,9.600000,9.666670,9.536670,9.650000,8.799285,240000
2010-03-11,9.426670,9.666670,9.426670,9.666670,8.814486,32400
2010-03-12,9.660000,9.666670,9.416670,9.566670,8.723305,198900
2010-03-15,9.533330,9.590000,9.483330,9.500000,8.662510,118500
2010-03-16,9.533330,9.633330,9.466670,9.483330,8.647307,103200
2010-03-17,9.536670,9.650000,9.256670,9.326670,8.504458,334500
2010-03-18,9.300000,9.520000,9.300000,9.500000,8.662510,21900
2010-03-19,9.493330,9.500000,9.270000,9.500000,8.662510,69900
2010-03-22,9.500000,9.500000,9.233330,9.433330,8.601716,268200
2010-03-23,9.333330,9.466670,9.333330,9.466670,8.632116,147900
2010-03-24,9.463330,9.530000,9.416670,9.530000,8.689864,416400
2010-03-25,9.530000,9.530000,9.516670,9.516670,8.677707,161700
2010-03-26,9.513330,9.530000,9.466670,9.530000,8.689864,76800
2010-03-29,9.516670,9.530000,9.373330,9.506670,8.668590,230400
2010-03-30,9.400000,9.516670,9.400000,9.500000,8.662510,146700
2010-03-31,9.416670,9.530000,9.170000,9.530000,8.689864,222000
2010-04-01,9.526670,9.530000,9.180000,9.500000,8.662510,132000
2010-04-05,9.333330,9.516670,9.310000,9.463330,8.629072,52200
2010-04-06,9.516670,9.533330,9.233330,9.233330,8.478423,109500
2010-04-07,9.250000,9.250000,9.116670,9.213330,8.460058,71700
2010-04-08,9.333330,10.023300,9.293330,10.023300,9.203806,543
2010-04-09,9.166670,9.200000,9.066670,9.066670,8.325392,274200
2010-04-12,9.266670,9.266670,8.900000,9.063330,8.322324,330300
2010-04-13,9.126670,9.126670,8.900000,9.100000,8.355997,40200
2010-04-14,9.100000,9.100000,8.933330,9.050000,8.310084,629100
2010-04-15,9.050000,9.300000,9.036670,9.300000,8.539642,434400
2010-04-16,9.300000,9.350000,9.263330,9.333330,8.570251,2157000
2010-04-19,9.333330,9.433330,9.333330,9.433330,8.662073,492600
2010-04-20,9.433330,9.996670,9.433330,9.496670,8.720235,99000
2010-04-22,9.383330,9.890000,9.383330,9.890000,9.081407,104700
2010-04-23,9.770000,9.966670,9.666670,9.966670,9.151806,128700
2010-04-26,9.933330,9.933330,9.586670,9.733330,8.937548,111900
2010-04-27,9.733330,9.866670,9.676670,9.683330,8.891634,1574400
2010-04-28,9.726670,9.826670,9.680000,9.790000,8.989582,202200
2010-04-29,9.766670,9.790000,9.690000,9.766670,8.968157,827400
2010-04-30,9.823330,9.983330,9.666670,9.983330,9.167108,96000
2010-05-03,9.666670,10.216700,8.973330,9.833330,9.029370,774
2010-05-04,9.816670,9.846670,9.443330,9.533330,8.753897,456900
2010-05-05,9.533330,9.810000,9.330000,9.500000,8.723293,369300
2010-05-06,9.500000,9.503330,9.266670,9.300000,8.539642,159000
2010-05-07,9.170000,9.330000,8.996670,9.330000,8.567192,466800
2010-05-10,9.330000,9.716670,9.330000,9.666670,8.876335,523500
