Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.618500,22.742901,21.996401,22.662901,17.102160,1088280
2010-01-05,22.769600,23.000601,22.103001,22.671801,17.108875,2295379
2010-01-06,22.503000,22.751801,21.836399,22.023001,16.619267,2115575
2010-01-07,21.729700,21.818600,20.307800,20.849899,15.734008,8368796
2010-01-08,20.876600,21.569799,20.263300,21.036501,15.874825,7433766
2010-01-11,21.507601,21.552000,20.849899,21.107599,15.928477,1980102
2010-01-12,21.018700,21.507601,20.307800,20.663200,15.593118,2062353
2010-01-13,21.000999,21.036501,20.290001,20.485500,15.459023,2290654
2010-01-14,20.529900,21.080999,20.467699,20.974300,15.827888,1569522
2010-01-15,20.858801,21.063200,20.494400,20.823200,15.713859,1435512
2010-01-18,20.823200,21.045401,20.707701,20.716600,15.633415,518373
2010-01-19,20.574400,20.903200,20.503300,20.903200,15.774228,894748
2010-01-20,20.743200,20.796600,19.996700,20.156700,15.210899,1000965
2010-01-21,20.156700,20.272200,19.134600,19.419001,14.654205,873932
2010-01-22,19.285700,20.441099,18.814699,20.352200,15.358429,1700494
2010-01-26,20.192200,20.334400,19.330099,20.112200,15.177317,1665275
2010-01-27,20.005600,20.121099,19.339001,19.889999,15.009632,1174244
2010-01-28,20.005600,20.281099,19.143499,19.374599,14.620701,1171769
2010-01-29,19.543400,19.783400,18.930201,18.930201,14.285342,1171094
2010-02-01,19.996700,21.374201,19.996700,20.956499,15.814455,4622039
2010-02-02,21.329800,21.658600,20.645500,20.796600,15.693789,2873950
2010-02-03,20.912100,21.409800,20.885401,21.187599,15.988846,3387597
2010-02-04,21.160900,21.347601,20.538799,20.681000,15.606550,2318671
2010-02-05,20.129999,20.832100,19.783400,20.796600,15.693789,2738590
2010-02-08,21.098700,21.774200,21.000999,21.774200,16.431519,2269950
2010-02-09,21.871901,22.440701,21.871901,22.307400,16.833885,2503764
2010-02-10,22.440701,22.440701,21.507601,22.040800,16.632700,2389107
2010-02-11,21.951900,21.951900,21.267599,21.534201,16.250402,2663315
2010-02-12,21.285400,21.685301,20.983200,21.649700,16.337566,1155341
2010-02-17,21.854200,22.511801,21.578600,21.729700,16.397938,1226678
2010-02-18,21.729700,21.863100,21.365400,21.863100,16.498600,704591
2010-02-19,21.623100,22.040800,21.507601,21.676399,16.357714,682988
2010-02-22,21.676399,21.889700,21.374201,21.605301,16.304058,1015593
2010-02-23,21.605301,21.676399,20.849899,21.107599,15.928477,1617230
2010-02-24,21.116501,21.445299,20.432199,20.663200,15.593118,1592363
2010-02-25,20.512199,20.876600,20.094500,20.876600,15.754159,1929356
2010-02-26,20.752100,20.992100,20.503300,20.921000,15.787663,1438775
2010-03-01,20.929899,21.045401,20.823200,20.885401,15.760799,745661
2010-03-02,21.036501,21.240900,20.672100,21.009899,15.854748,1189547
2010-03-03,21.152100,21.187599,20.494400,20.769899,15.673637,1366988
2010-03-04,20.761000,20.761000,19.916700,20.174400,15.224256,2527168
2010-03-05,20.352200,20.396601,19.534500,19.881201,15.002995,3114290
2010-03-08,19.952299,20.218901,19.747900,19.978901,15.076723,1207325
2010-03-09,19.801201,20.192200,19.730101,19.987801,15.083440,1258296
2010-03-10,20.076700,20.494400,20.023399,20.263300,15.291342,1820551
