Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,24.549999,24.549999,23.820000,24.200001,19.981951,3656100
2010-01-05,24.270000,24.350000,23.860001,23.969999,19.792038,3938400
2010-01-06,23.900000,24.370001,23.870001,24.000000,19.816809,3261400
2010-01-07,23.809999,24.280001,23.540001,23.540001,19.436989,3224300
2010-01-08,23.760000,23.940001,23.360001,23.500000,19.403961,2128500
2010-01-11,23.760000,23.969999,23.450001,23.730000,19.593868,2062500
2010-01-12,23.500000,24.120001,23.410000,24.120001,19.915892,2329600
2010-01-13,24.290001,24.350000,23.600000,23.750000,19.610386,2206600
2010-01-14,23.750000,23.930000,23.400000,23.530001,19.428732,2363800
2010-01-15,23.400000,23.629999,23.020000,23.240000,19.189280,3369700
2010-01-18,23.389999,23.580000,22.850000,22.980000,18.974596,2083000
2010-01-19,22.809999,23.190001,22.809999,22.959999,18.958082,3753600
2010-01-20,22.799999,22.809999,21.549999,21.889999,18.074583,7928600
2010-01-21,22.150000,22.150000,21.049999,21.139999,17.455307,3579600
2010-01-22,21.000000,21.950001,20.820000,21.350000,17.628704,3416200
2010-01-26,21.150000,21.820000,20.410000,21.700001,17.917700,4105400
2010-01-27,21.700001,22.250000,21.680000,22.010000,18.173666,4274800
2010-01-28,22.379999,22.549999,21.850000,22.150000,18.289267,2916200
2010-01-29,22.299999,22.450001,21.420000,21.639999,17.868156,2046300
2010-02-01,21.809999,22.799999,21.650000,22.700001,18.743401,2627500
2010-02-02,22.799999,23.100000,22.610001,23.100000,19.073679,2099300
2010-02-03,23.040001,23.129999,22.510000,23.000000,18.991112,3057800
2010-02-04,22.620001,22.879999,21.240000,21.639999,17.868156,4395200
2010-02-05,21.200001,21.400000,20.309999,21.100000,17.422279,6133500
2010-02-08,21.219999,21.940001,20.799999,21.120001,17.438793,2883400
2010-02-09,21.670000,22.230000,21.360001,22.209999,18.338804,3297600
2010-02-10,22.290001,22.940001,22.100000,22.709999,18.751656,2716300
2010-02-11,22.639999,23.129999,22.309999,23.129999,19.098450,2996800
2010-02-12,22.780001,23.059999,22.230000,22.900000,18.908543,2664800
2010-02-17,22.900000,23.730000,22.700001,23.629999,19.511303,2644600
2010-02-18,23.629999,24.100000,23.200001,24.000000,19.816809,2547600
2010-02-19,23.700001,24.049999,23.610001,24.040001,19.849840,2699200
2010-02-22,24.190001,24.230000,23.600000,23.770000,19.626900,2041600
2010-02-23,23.610001,23.799999,22.850000,23.240000,19.189280,2020400
2010-02-24,23.309999,23.590000,22.860001,23.180000,19.139738,1390700
2010-02-25,22.540001,22.840000,22.120001,22.730000,18.768169,3515100
2010-02-26,22.790001,22.850000,22.030001,22.549999,18.619543,3452300
2010-03-01,22.900000,22.990000,22.590000,22.730000,18.768169,2403200
2010-03-02,22.850000,23.129999,22.580000,22.660000,18.710369,2131000
2010-03-03,22.799999,23.290001,22.740000,22.950001,18.949825,3496400
2010-03-04,22.940001,23.090000,22.379999,22.600000,18.660831,1868900
2010-03-05,23.000000,23.000000,22.190001,22.540001,18.611288,3820100
2010-03-08,22.480000,22.540001,21.799999,21.959999,18.132383,3916300
2010-03-09,21.900000,22.290001,21.840000,21.900000,18.082838,6098900
2010-03-10,22.049999,22.760000,21.940001,22.480000,18.561747,3603300
2010-03-11,22.299999,23.120001,22.280001,22.709999,18.751656,2724500
2010-03-12,22.980000,23.070000,22.410000,22.620001,18.677347,2119400
2010-03-15,22.420000,22.629999,21.709999,22.150000,18.289267,2924100
2010-03-16,22.400000,22.459999,22.100000,22.400000,18.495691,1362800
2010-03-17,22.549999,22.590000,21.840000,21.920000,18.099352,2415100
2010-03-18,22.129999,22.620001,22.010000,22.230000,18.355320,3642700
2010-03-19,22.290001,22.440001,21.770000,21.900000,18.082838,2446600
2010-03-22,21.760000,21.950001,21.320000,21.900000,18.082838,2108600
2010-03-23,22.150000,22.200001,21.209999,21.549999,17.793842,5772400
2010-03-24,21.510000,21.900000,21.230000,21.450001,17.711277,4800400
2010-03-25,21.730000,21.820000,21.230000,21.260000,17.554392,2822900
2010-03-26,21.770000,21.790001,20.660000,21.100000,17.422279,8527700
2010-03-29,21.290001,21.290001,20.209999,20.850000,17.215857,6107300
2010-03-30,20.990000,21.440001,20.500000,20.700001,17.092001,6486200
2010-03-31,20.590000,21.059999,20.260000,21.059999,17.389252,5235700
2010-04-01,21.250000,21.820000,21.150000,21.820000,18.016783,4989900
2010-04-05,21.830000,22.139999,21.639999,21.820000,18.016783,2858900
2010-04-06,21.600000,22.059999,21.410000,21.469999,17.727787,4430500
2010-04-07,21.490000,21.799999,21.070000,21.090000,17.414022,3573300
2010-04-08,21.200001,21.850000,21.000000,21.850000,18.041555,2832
2010-04-09,21.590000,21.799999,21.219999,21.280001,17.570904,2585500
2010-04-12,21.290001,21.629999,21.049999,21.129999,17.447048,1301900
2010-04-13,21.200001,21.540001,21.100000,21.500000,17.752558,2069500
2010-04-14,21.420000,21.639999,21.139999,21.490000,17.744301,2897300
2010-04-15,21.490000,21.490000,21.049999,21.170000,17.480080,2071400
2010-04-16,21.049999,21.129999,20.389999,20.650000,17.050714,2522200
2010-04-19,20.500000,20.879999,20.309999,20.650000,17.050714,1876600
2010-04-20,20.799999,21.340000,20.760000,20.980000,17.323195,4271700
2010-04-22,20.650000,21.600000,20.510000,21.549999,17.793842,3214800
2010-04-23,21.459999,21.709999,21.059999,21.160000,17.471819,2526700
2010-04-26,21.340000,21.430000,21.010000,21.250000,17.546135,1914400
2010-04-27,21.020000,21.510000,20.520000,20.700001,17.092001,3450300
2010-04-28,21.000000,21.000000,20.250000,20.650000,17.050714,2753800
2010-04-29,20.910000,21.000000,20.450001,20.510000,16.935116,3608100
2010-04-30,20.490000,21.190001,20.450001,21.000000,17.339710,4502900
2010-05-03,21.389999,21.530001,20.639999,21.400000,18.074812,3093
2010-05-04,21.299999,21.350000,20.510000,21.000000,17.736969,6090800
2010-05-05,20.830000,21.150000,20.410000,21.010000,17.745411,3899200
2010-05-06,20.940001,21.049999,18.459999,20.049999,16.934580,5461000
2010-05-07,20.260000,20.370001,19.250000,19.990000,16.883902,5033900
2010-05-10,21.000000,21.490000,20.700001,21.490000,18.150829,2662400
2010-05-11,20.980000,21.700001,20.900000,21.120001,17.838322,2580300
2010-05-12,21.299999,21.600000,21.000000,21.000000,17.736969,3035700
2010-05-13,21.100000,21.100000,20.400000,20.400000,17.230196,3309700
2010-05-14,20.100000,20.250000,19.049999,19.100000,16.132193,7067900
2010-05-17,19.200001,19.450001,17.850000,18.830000,15.904144,3377600
2010-05-18,18.950001,19.139999,17.600000,17.650000,14.907497,5195100
2010-05-19,17.280001,17.700001,16.799999,17.350000,14.654113,5180500
2010-05-20,16.690001,18.700001,16.580000,18.379999,15.524067,7859100
2010-05-21,18.230000,19.480000,18.059999,19.100000,16.132193,5365800
2010-05-24,18.980000,19.280001,18.290001,18.600000,15.709887,3191600
2010-05-25,18.000000,18.110001,17.500000,18.070000,15.262239,6699600
2010-05-26,18.290001,18.879999,18.059999,18.500000,15.625424,4366100
2010-05-27,19.000000,19.450001,18.950001,19.360001,16.351793,2482500
2010-05-28,19.530001,19.879999,19.100000,19.650000,16.596733,3807400
2010-05-31,19.700001,19.830000,19.520000,19.750000,16.681192,1411500
2010-06-01,19.299999,19.950001,19.200001,19.280001,16.284224,2416400
2010-06-02,19.280001,20.250000,19.059999,20.250000,17.103506,2946100
2010-06-04,19.820000,19.930000,19.250000,19.450001,16.427811,2486400
2010-06-07,19.400000,19.629999,18.840000,18.950001,16.005503,2115700
2010-06-08,19.120001,19.410000,18.680000,19.410000,16.394026,2231700
2010-06-09,19.500000,19.770000,18.650000,18.840000,15.912593,3288600
2010-06-10,19.080000,19.549999,19.080000,19.500000,16.470039,3019500
2010-06-11,19.350000,20.070000,19.150000,20.070000,16.951469,2899600
2010-06-14,20.100000,20.969999,19.770000,20.799999,17.568043,5447100
2010-06-15,20.879999,20.959999,20.350000,20.850000,17.610277,2152800
2010-06-16,20.639999,20.760000,20.320000,20.530001,17.340000,3986500
2010-06-17,20.469999,21.200001,20.400000,20.900000,17.652504,3407200
2010-06-18,20.840000,21.299999,20.809999,21.000000,17.736969,2027
2010-06-21,21.230000,21.360001,20.610001,21.139999,17.855213,2129400
2010-06-22,20.910000,21.480000,20.910000,21.100000,17.821428,4570700
2010-06-23,21.209999,21.510000,20.780001,21.400000,18.074812,2688800
2010-06-24,21.209999,21.650000,20.590000,20.590000,17.390673,2305600
2010-06-25,20.700001,20.980000,20.530001,20.950001,17.694736,1056100
2010-06-28,20.969999,21.180000,20.750000,20.809999,17.576488,1653600
2010-06-29,20.340000,20.469999,19.450001,19.690001,16.630518,4058000
2010-06-30,19.700001,20.260000,19.510000,19.510000,16.478487,2414400
2010-07-01,19.629999,19.900000,19.040001,19.400000,16.385578,2037500
2010-07-02,19.520000,19.610001,19.080000,19.450001,16.427811,3670500
2010-07-05,19.600000,19.700001,19.309999,19.500000,16.470039,947400
2010-07-06,19.870001,20.400000,19.620001,19.850000,16.765656,4278500
2010-07-07,19.950001,20.549999,19.920000,20.100000,16.976812,3193000
2010-07-08,20.280001,20.490000,19.809999,20.490000,17.306211,2932900
2010-07-12,20.490000,20.959999,20.240000,20.700001,17.483583,2552500
2010-07-13,20.870001,21.200001,20.520000,21.200001,17.905890,2793500
2010-07-14,20.900000,21.580000,20.790001,21.580000,18.226843,3078200
2010-07-15,21.549999,22.000000,21.420000,22.000000,18.581585,5531100
2010-07-16,21.809999,22.000000,21.129999,21.129999,17.846766,2520100
2010-07-19,21.330000,21.990000,21.209999,21.959999,18.547800,4949700
2010-07-20,21.900000,22.549999,21.680000,21.840000,18.446444,4720900
2010-07-21,21.920000,22.250000,21.530001,21.670000,18.302858,2788400
2010-07-22,22.000000,22.600000,21.879999,22.549999,19.046124,4204800
2010-07-23,22.660000,23.170000,22.660000,23.100000,19.510662,4158400
2010-07-26,23.070000,23.280001,22.660000,22.950001,19.383970,2261900
2010-07-27,23.180000,23.299999,22.820000,23.190001,19.586679,1941100
2010-07-28,23.010000,23.600000,22.930000,23.600000,19.932972,3298300
2010-07-29,23.600000,24.600000,23.600000,24.600000,20.777592,5287600
2010-07-30,24.270000,24.889999,23.860001,24.790001,20.938066,3931900
2010-08-02,24.930000,26.040001,24.670000,25.510000,21.546190,4958000
2010-08-03,25.250000,25.420000,24.700001,24.950001,21.073206,5612800
2010-08-04,25.049999,25.049999,24.379999,24.600000,20.777592,4543500
2010-08-05,24.350000,24.650000,23.900000,24.049999,20.313049,2902200
2010-08-06,23.850000,23.940001,23.100000,23.420000,19.780941,5723200
2010-08-09,23.719999,24.049999,23.400000,23.400000,19.764048,3363600
2010-08-10,23.150000,23.360001,22.680000,22.900000,19.341742,4889300
2010-08-11,22.600000,23.129999,22.459999,22.600000,19.088356,2265600
2010-08-12,22.500000,22.650000,21.750000,22.040001,18.615370,6757200
2010-08-13,22.070000,22.500000,21.889999,21.950001,18.539352,3161700
2010-08-16,22.100000,22.740000,21.940001,22.740000,19.206598,2104600
2010-08-17,23.000000,23.430000,22.820000,23.379999,19.747154,2816000
2010-08-18,23.389999,23.799999,23.049999,23.799999,20.101896,2861800
2010-08-19,23.700001,24.000000,22.959999,23.290001,19.671141,2745500
2010-08-20,23.160000,23.270000,22.680000,22.950001,19.383970,1534000
2010-08-23,23.230000,23.450001,22.719999,22.950001,19.383970,2271700
2010-08-24,22.500000,23.059999,22.200001,22.719999,19.189711,2021600
2010-08-25,22.650000,22.719999,22.150000,22.309999,18.843414,2176800
2010-08-26,22.450001,22.559999,21.410000,21.510000,18.167721,2322900
2010-08-27,21.790001,22.139999,21.150000,22.000000,18.581585,2963100
2010-08-30,22.040001,22.969999,21.500000,22.969999,19.400864,2043
2010-08-31,21.559999,22.200001,21.510000,21.830000,18.438000,3031800
2010-09-01,21.900000,22.629999,21.900000,22.299999,18.834970,2189
2010-09-02,22.639999,22.750000,22.219999,22.740000,19.206598,1650200
