Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.470410,5.547340,5.360950,5.423080,3.850132,1888406
2010-01-05,5.423080,5.443790,5.372780,5.411240,3.841727,714532
2010-01-06,5.393490,5.464500,5.384620,5.440830,3.862735,2053012
2010-01-07,5.485210,5.559170,5.443790,5.532540,3.927845,469820
2010-01-08,5.517750,5.739640,5.514790,5.733730,4.070679,1099514
2010-01-11,5.727810,5.763310,5.668640,5.668640,4.024469,876096
2010-01-12,5.621300,5.798820,5.576920,5.798820,4.116890,2201732
2010-01-13,5.828400,5.843200,5.458580,5.621300,3.990860,1221532
2010-01-14,5.615380,5.736690,5.565090,5.588760,3.967758,310284
2010-01-15,5.547340,5.674560,5.547340,5.565090,3.950953,504296
2010-01-18,5.505920,5.721890,5.502960,5.538460,3.932047,575952
2010-01-19,5.624260,5.680470,5.511830,5.680470,4.032868,935246
2010-01-20,5.642010,5.792900,5.538460,5.792900,4.112688,2115880
2010-01-21,5.745560,5.789940,5.511830,5.523670,3.921548,459342
2010-01-22,5.485210,5.588760,5.251480,5.325440,3.780812,2097628
2010-01-26,5.301780,5.322490,5.115380,5.198220,3.690493,1336114
2010-01-27,5.156800,5.357990,5.156800,5.295860,3.759811,527280
2010-01-28,5.295860,5.470410,5.153850,5.372780,3.814422,1323608
2010-01-29,5.325440,5.408280,5.275150,5.340240,3.791321,402220
2010-02-01,5.295860,5.390530,5.207100,5.360950,3.806023,481312
2010-02-02,5.384620,5.399410,5.295860,5.295860,3.759811,504972
2010-02-03,5.298820,5.378700,5.281070,5.372780,3.814422,2323074
2010-02-04,5.357990,5.360950,5.180470,5.325440,3.780812,689520
2010-02-05,5.177510,5.257400,4.884620,5.088760,3.612781,1663636
2010-02-08,5.136090,5.316570,5.094670,5.254440,3.730407,647946
2010-02-09,5.257400,5.488170,5.254440,5.437870,3.860633,1077882
2010-02-10,5.343200,5.411240,5.295860,5.399410,3.833327,1064362
2010-02-11,5.313610,5.399410,5.278110,5.399410,3.833327,272428
2010-02-12,5.369820,5.497040,5.239640,5.239640,3.719899,647608
2010-02-17,5.325440,5.355030,5.281070,5.325440,3.780812,576290
2010-02-18,5.343200,5.452660,5.289940,5.431950,3.856430,218010
2010-02-19,5.372780,5.437870,5.298820,5.298820,3.761914,1046786
2010-02-22,5.343200,5.378700,5.289940,5.369820,3.812319,3654118
2010-02-23,5.381660,5.381660,5.210060,5.352070,3.799719,1683578
2010-02-24,5.269230,5.295860,5.000000,5.000000,3.549766,1902602
2010-02-25,5.017750,5.177510,5.014790,5.147930,3.654788,2371746
2010-02-26,5.177510,5.251480,5.079880,5.224850,3.709399,876096
2010-03-01,5.239640,5.266270,5.186390,5.207100,3.696797,617864
2010-03-02,5.236690,5.281070,5.177510,5.177510,3.675789,1802554
2010-03-03,5.192310,5.207100,5.014790,5.050300,3.585476,1799850
2010-03-04,5.062130,5.088760,5.035500,5.059170,3.591774,454948
2010-03-05,5.082840,5.266270,5.082840,5.266270,3.738805,1804244
2010-03-08,5.275150,5.396450,5.236690,5.340240,3.791321,1424670
2010-03-09,5.337280,5.384620,5.236690,5.369820,3.812319,428922
2010-03-10,5.325440,5.464500,5.325440,5.440830,3.862735,1112696
2010-03-11,5.298820,5.470410,5.298820,5.428990,3.854329,837564
2010-03-12,5.446750,5.461540,5.375740,5.458580,3.875338,661804
2010-03-15,5.467460,5.547340,5.402370,5.502960,3.906845,554320
2010-03-16,5.491120,5.532540,5.443790,5.473370,3.885837,630032
2010-03-17,5.529590,5.529590,5.352070,5.384620,3.822829,225446
2010-03-18,5.372780,5.443790,5.337280,5.384620,3.822829,450892
2010-03-19,5.381660,5.443790,5.325440,5.346150,3.795517,524914
2010-03-22,5.346150,5.378700,5.251480,5.295860,3.759811,1235052
2010-03-23,5.355030,5.355030,5.295860,5.325440,3.780812,900770
2010-03-24,5.322490,5.384620,5.322490,5.340240,3.791321,1058278
2010-03-25,5.325440,5.402370,5.325440,5.396450,3.831226,958230
2010-03-26,5.334320,5.384620,5.325440,5.343200,3.793423,1133990
2010-03-29,5.355030,5.529590,5.355030,5.485210,3.894243,1377688
2010-03-30,5.464500,5.529590,5.414200,5.520710,3.919445,900432
2010-03-31,5.502960,5.680470,5.491120,5.621300,3.990860,2219984
2010-04-01,5.659760,5.763310,5.408280,5.621300,3.990860,1341184
2010-04-05,5.621300,5.721890,5.571010,5.582840,3.963555,877110
2010-04-06,5.535500,5.600590,5.482250,5.523670,3.921548,602316
2010-04-07,5.452660,5.568050,5.340240,5.396450,3.831226,903812
2010-04-08,5.390530,5.544380,5.390530,5.473370,3.885837,1453
2010-04-09,5.423080,5.627220,5.423080,5.562130,3.948853,1002508
2010-04-12,5.532540,5.615380,5.529590,5.612430,3.984563,223756
2010-04-13,5.458580,5.621300,5.458580,5.541420,3.934150,264316
2010-04-14,5.550300,5.600590,5.470410,5.511830,3.913141,471848
2010-04-15,5.520710,5.612430,5.473370,5.473370,3.885837,355914
2010-04-16,5.488170,5.556210,5.381660,5.473370,3.885837,479960
2010-04-19,5.399410,5.591720,5.399410,5.473370,3.885837,326170
