Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.272730,7.330910,7.132730,7.318180,3.163958,5208500
2010-01-05,7.347270,7.438180,7.054550,7.054550,3.049978,5520350
2010-01-06,7.100000,7.130910,6.865450,6.918180,2.991020,7530600
2010-01-07,6.910910,7.116360,6.854550,6.854550,2.963510,9306550
2010-01-08,6.925450,7.010910,6.887270,6.890910,2.979230,6902500
2010-01-11,6.956360,7.029090,6.858180,7.018180,3.034254,3631650
2010-01-12,6.945450,7.210910,6.860000,7.181820,3.105003,5452150
2010-01-13,7.163640,7.267270,7.090910,7.263640,3.140377,4875750
2010-01-14,7.236360,7.256360,7.043640,7.101820,3.070415,2655400
2010-01-15,6.981820,7.032730,6.816360,6.850910,2.961937,5540700
2010-01-18,6.881820,7.145450,6.850910,6.918180,2.991020,3050300
2010-01-19,6.936360,7.127270,6.916360,7.000000,3.026394,3509000
2010-01-20,6.894550,7.014550,6.723640,6.729090,2.909269,4940100
2010-01-21,6.767270,6.858180,6.476360,6.581820,2.845598,3394600
2010-01-22,6.563640,6.672730,6.438180,6.490910,2.806293,5623200
2010-01-26,6.409090,6.545450,6.256360,6.436360,2.782709,8781300
2010-01-27,6.383640,6.612730,6.345450,6.427270,2.778779,4833950
2010-01-28,6.530910,6.532730,6.281820,6.436360,2.782709,4837800
2010-01-29,6.467270,6.554550,6.300000,6.541820,2.828303,8100400
2010-02-01,6.565450,6.618180,6.394550,6.618180,2.861317,3467200
2010-02-02,6.663640,6.725450,6.512730,6.672730,2.884901,5821750
2010-02-03,6.670910,7.049090,6.632730,7.049090,3.047618,13299550
2010-02-04,6.978180,6.981820,6.672730,6.736360,2.912411,5161750
2010-02-05,6.709090,6.781820,6.540000,6.732730,2.910842,7495400
2010-02-08,6.729090,6.814550,6.572730,6.680000,2.888044,4451150
2010-02-09,6.800000,6.989090,6.672730,6.672730,2.884901,6284850
2010-02-10,6.729090,6.898180,6.685450,6.809090,2.943856,4012800
2010-02-11,6.834550,6.965450,6.770910,6.845450,2.959576,4280100
2010-02-12,6.845450,6.916360,6.561820,6.620000,2.862105,5788200
2010-02-17,6.690910,6.874550,6.685450,6.729090,2.909269,4902150
2010-02-18,6.727270,6.794550,6.701820,6.729090,2.909269,3285700
2010-02-19,6.709090,6.781820,6.645450,6.701820,2.897478,4360950
2010-02-22,6.776360,6.909090,6.745450,6.820000,2.948573,5590750
2010-02-23,7.081820,7.172730,7.010910,7.145450,3.089278,21923550
2010-02-24,7.181820,7.272730,7.054550,7.114550,3.075919,6828800
2010-02-25,7.014550,7.170910,6.910910,7.047270,3.046831,10168950
2010-02-26,7.000000,7.129090,6.972730,7.094550,3.067272,2903450
2010-03-01,7.180000,7.383640,7.041820,7.354550,3.179681,8537100
2010-03-02,7.409090,7.667270,7.272730,7.636360,3.301520,8212600
2010-03-03,7.640000,7.643640,7.363640,7.363640,3.183611,7770950
2010-03-04,7.363640,7.545450,7.318180,7.436360,3.215051,4121700
2010-03-05,7.540000,7.585450,7.354550,7.490910,3.238636,4516600
2010-03-08,7.470910,7.701820,7.327270,7.672730,3.317243,9354400
2010-03-09,7.656360,7.809090,7.645450,7.663640,3.313313,6113250
2010-03-10,7.725450,7.798180,7.605450,7.636360,3.301520,5550050
2010-03-11,7.627270,7.712730,7.580000,7.654550,3.309384,2934250
2010-03-12,7.814550,7.816360,7.400000,7.400000,3.199330,7386500
2010-03-15,7.409090,7.409090,7.132730,7.243640,3.131730,4951650
2010-03-16,7.178180,7.510910,7.172730,7.472730,3.230774,3310450
2010-03-17,7.543640,7.621820,7.341820,7.341820,3.174177,2774200
2010-03-18,7.396360,7.454550,7.281820,7.372730,3.187541,4599650
2010-03-19,7.374550,7.416360,7.256360,7.363640,3.183611,2988150
2010-03-22,7.256360,7.481820,7.256360,7.363640,3.183611,3996300
2010-03-23,7.418180,7.500000,7.363640,7.490910,3.238636,6743000
2010-03-24,7.454550,7.454550,7.272730,7.372730,3.187541,3462800
2010-03-25,7.390910,7.465450,7.283640,7.436360,3.215051,5855850
2010-03-26,7.387270,7.463640,7.212730,7.236360,3.128583,6219400
2010-03-29,7.305450,7.343640,7.234550,7.290910,3.152167,4357100
2010-03-30,7.298180,7.329090,7.234550,7.292730,3.152953,3758700
2010-03-31,7.218180,7.518180,7.209090,7.418180,3.207192,5228850
2010-04-01,7.536360,7.589090,7.263640,7.267270,3.141946,5043500
2010-04-05,7.390910,7.432730,7.289090,7.372730,3.187541,1486100
2010-04-06,7.372730,7.580000,7.321820,7.463640,3.226845,3507900
2010-04-07,7.487270,7.663640,7.436360,7.620000,3.294447,4092550
2010-04-08,7.672730,7.681820,7.480000,7.498180,3.241777,4087
2010-04-09,7.518180,7.629090,7.410910,7.427270,3.211121,5215650
2010-04-12,7.427270,7.621820,7.427270,7.527270,3.254355,5009400
2010-04-13,7.545450,7.752730,7.483640,7.752730,3.351831,5933950
2010-04-14,7.730910,7.818180,7.710910,7.727270,3.340824,7314450
2010-04-15,7.676360,7.783640,7.630910,7.630910,3.299163,3454550
2010-04-16,7.574550,7.732730,7.460000,7.490910,3.238636,2409550
2010-04-19,7.438180,7.650910,7.307270,7.400000,3.199330,5448850
2010-04-20,7.501820,7.550910,7.436360,7.516360,3.249638,6361300
2010-04-22,7.436360,7.683640,7.381820,7.676360,3.318814,3813700
2010-04-23,7.503640,7.654550,7.320000,7.454550,3.597923,4013900
2010-04-26,7.496360,7.516360,7.350910,7.363640,3.554047,2786850
2010-04-27,7.334550,7.343640,7.021820,7.090910,3.422413,3898950
2010-04-28,7.161820,7.390910,7.112730,7.378180,3.561063,6799100
2010-04-29,7.454550,7.618180,7.363640,7.545450,3.641796,3852200
2010-04-30,7.690910,7.970910,7.690910,7.820000,3.774307,8898450
2010-05-03,7.800000,8.076360,7.800000,8.076360,3.898039,7480
2010-05-04,8.009090,8.058180,7.778180,7.820000,3.774307,7576800
2010-05-05,7.718180,7.896360,7.683640,7.723640,3.727798,5155700
2010-05-06,7.730910,7.854550,6.765450,7.310910,3.528596,7857300
2010-05-07,7.365450,7.452730,7.120000,7.236360,3.492614,5128200
2010-05-10,7.727270,7.774550,7.474550,7.767270,3.748857,4461600
2010-05-11,7.618180,7.798180,7.545450,7.600000,3.668125,2578400
2010-05-12,7.727270,7.770910,7.620000,7.654550,3.694453,3020600
2010-05-13,7.645450,7.863640,7.620000,7.818180,3.773429,4599100
